时间,代码,名称,板块,相关信息
13:32:09,603007,ST花王,大笔买入,"516554,9.68000,0.049892"
13:30:30,002448,中原内配,大笔买入,"712800,7.91000,0.100139"
13:30:27,002448,中原内配,大笔买入,"602600,7.91000,0.100139"
13:30:24,002448,中原内配,大笔买入,"552500,7.91000,0.100139"
13:30:22,301586,佳力奇,大笔买入,"28300,52.94000,0.021022"
13:30:18,002448,中原内配,大笔买入,"674400,7.91000,0.100139"
13:30:09,002718,友邦吊顶,大笔买入,"76700,15.87000,-0.097159"
13:29:42,002448,中原内配,大笔买入,"522700,7.89000,0.098748"
13:29:00,920108,宏海科技,大笔买入,"50228,19.95000,0.037344"
13:28:58,600203,福日电子,大笔买入,"677100,9.89000,0.094027"
13:28:42,002848,高斯贝尔,大笔买入,"299300,6.51000,0.050081"
13:28:42,000981,山子高科,大笔买入,"12072700,2.34000,0.074074"
13:28:01,300254,仟源医药,大笔买入,"429200,9.39000,0.083141"
13:27:37,300862,蓝盾光电,大笔买入,"195100,25.62000,0.017488"
13:27:01,301366,一博科技,大笔买入,"57500,48.30000,0.011307"
13:27:00,002666,德联集团,大笔买入,"1341400,4.85000,0.008316"
13:26:56,688667,菱电电控,大笔买入,"100000,44.30000,0.014194"
13:26:53,873152,天宏锂电,大笔买入,"71450,16.66000,0.060471"
13:26:47,837212,智新电子,大笔买入,"57584,17.75000,0.047059"
13:26:18,835184,国源科技,大笔买入,"124219,14.19000,0.080153"
13:26:18,430425,乐创技术,大笔买入,"49179,21.34000,0.085700"
13:26:04,300071,福石控股,大笔买入,"1463700,6.08000,0.015050"
13:25:59,872374,云里物里,大笔买入,"45800,39.38000,0.065747"
13:25:55,301252,同星科技,大笔买入,"37700,37.10000,0.027701"
13:25:39,834475,三友科技,大笔买入,"70749,21.90000,0.157060"
13:25:36,003003,天元股份,大笔买入,"279100,10.10000,0.021277"
13:25:16,301211,亨迪药业,大笔买入,"93700,18.52000,0.023770"
13:25:06,002552,宝鼎科技,大笔买入,"375600,15.62000,0.009050"
13:24:58,301581,黄山谷捷,大笔买入,"26100,55.02000,0.023628"
13:24:30,002717,岭南股份,大笔买入,"4582800,3.37000,0.012048"
13:24:06,000573,粤宏远Ａ,大笔买入,"658700,4.25000,-0.034091"
13:23:40,600203,福日电子,大笔买入,"836100,9.89000,0.094027"
13:23:15,600165,*ST宁科,大笔买入,"746450,3.02000,0.044983"
13:22:43,301288,清研环境,大笔买入,"85800,12.69000,0.027642"
13:22:37,300766,每日互动,大笔买入,"373300,41.57000,0.198847"
13:22:33,002691,冀凯股份,大笔买入,"869300,11.12000,0.099901"
13:22:31,300377,赢时胜,大笔买入,"694600,31.01000,0.160614"
13:22:30,002691,冀凯股份,大笔买入,"455310,11.12000,0.099901"
13:22:22,600281,华阳新材,大笔买入,"599500,3.45000,0.026786"
13:22:18,835640,富士达,大笔买入,"229047,25.90000,0.074689"
13:22:06,000882,华联股份,大笔买入,"7230100,2.75000,0.000000"
13:21:36,000626,远大控股,大笔买入,"2044600,6.43000,0.093537"
13:21:24,002660,茂硕电源,大笔买入,"314500,11.55000,0.030411"
13:21:18,002778,中晟高科,大笔买入,"163060,18.90000,0.094962"
13:21:15,002681,奋达科技,大笔买入,"3786700,7.93000,0.040736"
13:21:09,002584,西陇科学,大笔买入,"600400,8.16000,0.009901"
13:20:58,301128,强瑞技术,大笔买入,"38500,61.18000,0.026895"
13:20:45,000852,石化机械,大笔买入,"1024160,6.46000,0.012539"
13:20:36,871981,晶赛科技,大笔买入,"47737,32.40000,0.052683"
13:20:36,002175,东方智造,大笔买入,"2318660,5.13000,0.066667"
13:20:25,603395,红四方,大笔买入,"40600,47.83000,0.021790"
13:20:12,002175,东方智造,大笔买入,"1400700,5.09000,0.054167"
13:20:07,301380,挖金客,大笔买入,"50800,52.42000,0.034136"
13:19:09,832566,梓橦宫,大笔买入,"120200,10.30000,0.055328"
13:19:00,002910,庄园牧场,大笔买入,"337300,7.86000,0.034166"
13:18:40,300571,平治信息,大笔买入,"151900,31.18000,0.075563"
13:17:54,002076,星光股份,大笔买入,"1462500,3.38000,0.012012"
13:16:37,301439,泓淋电力,大笔买入,"360000,19.91000,0.195195"
13:16:36,001356,富岭股份,大笔买入,"129700,15.18000,-0.012362"
13:16:31,300222,科大智能,大笔买入,"642700,12.17000,-0.004898"
13:16:07,300687,赛意信息,大笔买入,"398100,21.96000,0.048664"
13:16:04,300651,金陵体育,大笔买入,"91500,14.46000,0.099237"
13:16:01,300044,赛为智能,大笔买入,"865484,6.81000,0.017937"
13:15:06,000628,高新发展,大笔买入,"225380,60.02000,0.080663"
13:15:06,000530,冰山冷热,大笔买入,"823200,6.08000,-0.004926"
13:15:01,300170,汉得信息,大笔买入,"1256400,21.58000,0.015144"
13:14:49,300461,田中精机,大笔买入,"100700,19.54000,0.031135"
13:14:12,871263,莱赛激光,大笔买入,"120100,17.38000,0.106894"
13:14:01,301398,星源卓镁,大笔买入,"24100,51.93000,-0.006122"
13:13:51,002999,天禾股份,大笔买入,"422100,6.22000,0.018003"
13:13:51,000856,冀东装备,大笔买入,"410600,11.50000,0.032947"
13:13:45,833030,立方控股,大笔买入,"102347,19.70000,0.130782"
13:13:27,000716,黑芝麻,大笔买入,"1770300,7.05000,0.021771"
13:13:24,920116,星图测控,大笔买入,"29150,53.08000,0.053259"
13:13:16,301168,通灵股份,大笔买入,"57100,30.05000,0.054814"
13:13:09,001266,宏英智能,大笔买入,"258600,26.48000,0.100125"
13:12:54,000856,冀东装备,大笔买入,"365800,11.24000,0.000000"
13:12:49,301626,苏州天脉,大笔买入,"35900,101.71000,0.004940"
13:12:40,834770,艾能聚,大笔买入,"163934,21.02000,0.213873"
13:12:18,002728,特一药业,大笔买入,"450656,8.31000,0.012180"
13:12:03,001266,宏英智能,大笔买入,"70700,26.40000,0.093477"
13:11:54,873167,新赣江,大笔买入,"65857,19.40000,0.106651"
13:11:45,603206,嘉环科技,大笔买入,"190100,17.49000,0.053614"
13:11:42,002640,跨境通,大笔买入,"2683400,4.57000,0.026966"
13:11:33,833030,立方控股,大笔买入,"97864,19.20000,0.096516"
13:11:30,001395,C亚联,大笔买入,"20100,53.30000,0.289416"
13:11:03,600868,梅雁吉祥,大笔买入,"2971800,2.76000,0.026022"
13:10:51,001395,C亚联,大笔买入,"20900,55.00000,0.360548"
13:10:45,001395,C亚联,大笔买入,"31300,55.00000,0.344415"
