序号,代码,名称,最近上榜日,收盘价,涨跌幅,上榜次数,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜总成交额,买方机构次数,卖方机构次数,机构买入净额,机构买入总额,机构卖出总额,近1个月涨跌幅,近3个月涨跌幅,近6个月涨跌幅,近1年涨跌幅
178,600246,万通发展,2025-02-25,6.9,10.0478,2,-16619899.68,108637748.9,125257648.58,233895397.48,0,1,-12088211.0,0.0,12088211.0,13.48684211,-42.45204337,13.1147541,16.94915254
179,601869,长飞光纤,2025-02-25,43.09,0.8189,2,-95856764.47,445923001.11,541779765.58,987702766.69,4,1,133505446.54,186226676.0,52721229.46,12.35984355,55.89725036,93.05555556,63.47845066
180,603915,国茂股份,2025-02-25,20.48,9.9893,2,326909507.62,562086982.97,235177475.35,797264458.32,5,0,310576238.14,310576238.14,0.0,35.80901857,68.28266228,159.97196658,56.24894033
181,688220,翱捷科技,2025-02-25,98.4,11.8309,2,-280220652.84,1092950764.07,1373171416.91,2466122180.98,5,2,115907081.26,677027154.04,561120072.78,45.79937769,154.46082234,213.47562918,98.30713422
182,837663,明阳科技,2025-02-25,28.8,29.9639,2,13100036.94,78550924.24,65450887.3,144001811.54,0,2,-10436836.78,0.0,10436836.78,78.32817337,44.4332999,217.18061674,146.24825711
183,002335,科华数据,2025-02-24,52.14,10.0,2,387797398.86,1031522029.07,643724630.21,1675246659.28,1,2,-58559282.95,61878903.05,120438186.0,73.97397397,122.82051282,209.98810939,124.02205744
184,002343,慈文传媒,2025-02-24,8.61,0.5841,2,-17738228.12,175026616.59,192764844.71,367791461.3,3,5,-58997687.31,31525638.2,90523325.51,44.22110553,27.74480712,84.36830835,62.45283019
185,002987,京北方,2025-02-24,24.1,7.3019,2,247073147.65,583342424.4,336269276.75,919611701.15,4,2,241609946.09,288895299.0,47285352.91,74.38494935,66.43646409,121.10091743,118.21292926
186,301336,趣睡科技,2025-02-24,88.01,15.8026,2,-69074847.61,243816031.55,312890879.16,556706910.71,5,5,-10412323.33,70166907.51,80579230.84,47.42043551,162.24672229,229.96524221,171.28890482
187,603206,嘉环科技,2025-02-24,19.26,-4.4169,2,-15409498.85,140215981.08,155625479.93,295841461.01,0,0,0.0,0.0,0.0,28.4,18.88888889,64.33447099,28.72190158
188,002058,威尔泰,2025-02-21,12.56,-7.9853,2,-42469519.84,59529146.7,101998666.54,161527813.24,4,4,-30695480.0,15190747.0,45886227.0,19.0521327,-3.82848392,73.00275482,26.10441767
189,300622,博士眼镜,2025-02-21,55.64,2.8276,2,248802890.24,734991203.99,486188313.75,1221179517.74,7,7,211719989.16,449313217.0,237593227.84,18.13163482,29.21364173,84.46389954,307.11137071
190,300660,江苏雷利,2025-02-21,74.8,20.0064,2,257262982.8,987466510.24,730203527.44,1717670037.68,4,4,-17218267.75,266505789.64,283724057.39,77.96811801,125.64102564,225.22601862,222.5292673
